tile,source_image,ground_truth_features,ground_truth_path
tile 0,C:\Uni\HS2\Dataset\S2\images\tile 0\HS2_tile_0.tif,13291,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 0\archaeology_selected.geojson
tile 1,C:\Uni\HS2\Dataset\S2\images\tile 1\HS2_tile_1.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 1\archaeology_selected.geojson
tile 2,C:\Uni\HS2\Dataset\S2\images\tile 2\HS2_tile_2.tif,9,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 2\archaeology_selected.geojson
tile 3,C:\Uni\HS2\Dataset\S2\images\tile 3\HS2_tile_3.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 3\archaeology_selected.geojson
tile 4,C:\Uni\HS2\Dataset\S2\images\tile 4\HS2_tile_4.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 4\archaeology_selected.geojson
tile 5,C:\Uni\HS2\Dataset\S2\images\tile 5\HS2_tile_5.tif,332,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 5\archaeology_selected.geojson
tile 6,C:\Uni\HS2\Dataset\S2\images\tile 6\HS2_tile_6.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 6\archaeology_selected.geojson
tile 7,C:\Uni\HS2\Dataset\S2\images\tile 7\HS2_tile_7.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 7\archaeology_selected.geojson
tile 8,C:\Uni\HS2\Dataset\S2\images\tile 8\HS2_tile_8.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 8\archaeology_selected.geojson
tile 9,C:\Uni\HS2\Dataset\S2\images\tile 9\HS2_tile_9.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 9\archaeology_selected.geojson
tile 10,C:\Uni\HS2\Dataset\S2\images\tile 10\HS2_tile_10.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 10\archaeology_selected.geojson
tile 11,C:\Uni\HS2\Dataset\S2\images\tile 11\HS2_tile_11.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 11\archaeology_selected.geojson
tile 12,C:\Uni\HS2\Dataset\S2\images\tile 12\HS2_tile_12.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 12\archaeology_selected.geojson
tile 13,C:\Uni\HS2\Dataset\S2\images\tile 13\HS2_tile_13.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 13\archaeology_selected.geojson
tile 14,C:\Uni\HS2\Dataset\S2\images\tile 14\HS2_tile_14.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 14\archaeology_selected.geojson
tile 15,C:\Uni\HS2\Dataset\S2\images\tile 15\HS2_tile_15.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 15\archaeology_selected.geojson
tile 16,C:\Uni\HS2\Dataset\S2\images\tile 16\HS2_tile_16.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 16\archaeology_selected.geojson
tile 17,C:\Uni\HS2\Dataset\S2\images\tile 17\HS2_tile_17.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 17\archaeology_selected.geojson
tile 18,C:\Uni\HS2\Dataset\S2\images\tile 18\HS2_tile_18.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 18\archaeology_selected.geojson
tile 19,C:\Uni\HS2\Dataset\S2\images\tile 19\HS2_tile_19.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 19\archaeology_selected.geojson
tile 20,C:\Uni\HS2\Dataset\S2\images\tile 20\HS2_tile_20.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 20\archaeology_selected.geojson
tile 21,C:\Uni\HS2\Dataset\S2\images\tile 21\HS2_tile_21.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 21\archaeology_selected.geojson
tile 22,C:\Uni\HS2\Dataset\S2\images\tile 22\HS2_tile_22.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 22\archaeology_selected.geojson
tile 23,C:\Uni\HS2\Dataset\S2\images\tile 23\HS2_tile_23.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 23\archaeology_selected.geojson
tile 24,C:\Uni\HS2\Dataset\S2\images\tile 24\HS2_tile_24.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 24\archaeology_selected.geojson
tile 25,C:\Uni\HS2\Dataset\S2\images\tile 25\HS2_tile_25.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 25\archaeology_selected.geojson
tile 26,C:\Uni\HS2\Dataset\S2\images\tile 26\HS2_tile_26.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 26\archaeology_selected.geojson
tile 27,C:\Uni\HS2\Dataset\S2\images\tile 27\HS2_tile_27.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 27\archaeology_selected.geojson
tile 28,C:\Uni\HS2\Dataset\S2\images\tile 28\HS2_tile_28.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 28\archaeology_selected.geojson
tile 29,C:\Uni\HS2\Dataset\S2\images\tile 29\HS2_tile_29.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 29\archaeology_selected.geojson
tile 30,C:\Uni\HS2\Dataset\S2\images\tile 30\HS2_tile_30.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 30\archaeology_selected.geojson
tile 31,C:\Uni\HS2\Dataset\S2\images\tile 31\HS2_tile_31.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 31\archaeology_selected.geojson
tile 32,C:\Uni\HS2\Dataset\S2\images\tile 32\HS2_tile_32.tif,0,C:\Uni\Terra-AID\Data\Datasets\HS2\Raw\GroundTruth\tile 32\archaeology_selected.geojson
