tile_id,tile_dir,role,structure,profile_name,num_input_channels,expected_input_channels,input_channels,has_model_input,has_s2_stack,has_indices,has_rgb,has_qc,has_valid_mask,has_dem,has_soil,has_ground_truth,valid_pixel_fraction,nan_fraction,width,height,status,excluded_reason
0,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 0,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,True,0.9997592681752527,0.0,558,335,valid,
1,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 1,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9995176719633431,0.0,557,335,valid,
2,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 2,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,True,0.999967748524495,0.0,557,334,valid,
3,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 3,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,558,335,valid,
4,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 4,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9970149253731343,0.0029850746268657025,558,335,valid,
5,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 5,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,True,0.9998660199898175,0.0,557,335,valid,
6,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 6,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9969827701706905,0.0029850746268657025,557,335,valid,
7,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 7,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9999679024233671,0.0,558,335,valid,
8,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 8,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.999577381907666,0.0,558,335,valid,
9,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 9,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,558,335,valid,
