tile_id,tile_dir,role,structure,profile_name,num_input_channels,expected_input_channels,input_channels,has_model_input,has_s2_stack,has_indices,has_rgb,has_qc,has_valid_mask,has_dem,has_soil,has_ground_truth,valid_pixel_fraction,nan_fraction,width,height,status,excluded_reason
tile_0_0,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_0_0,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,1114,669,valid,
tile_10_10,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_10_10,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,0.9968051118210862,0.0031948881789137795,502,313,valid,
tile_11_11,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_11_11,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,491,335,valid,
tile_12_12,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_12_12,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,780,502,valid,
tile_13_13,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_13_13,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,0.9999934505896106,0.0,781,391,valid,
tile_14_14,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_14_14,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,524,301,valid,
tile_15_15,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_15_15,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,424,246,valid,
tile_16_16,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_16_16,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,524,302,valid,
tile_1_1,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_1_1,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,892,558,valid,
tile_2_2,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_2_2,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,0.9967669259065972,0.0031948881789137795,502,313,valid,
tile_3_3,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_3_3,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,0.9999846766779038,0.0,780,502,valid,
tile_4_4,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_4_4,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,780,391,valid,
tile_5_5,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_5_5,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,0.9999620848288762,0.0,524,302,valid,
tile_6_6,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_6_6,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,424,246,valid,
tile_7_7,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_7_7,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,524,302,valid,
tile_8_8,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_8_8,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,1115,669,valid,
tile_9_9,C:\Uni\Python\Terra-AID\Data\Datasets\ground_truth\Dataset\tile tile_9_9,prediction,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,True,1.0,0.0,891,558,valid,
